date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,3.46,3.46,3.32,3.26,291517.03,-0.3,-8.29,3.69,3.685,3.791,197387.1,146726.74,142107.98
2018-12-27,3.86,3.89,3.62,3.62,235225.64,-0.24,-6.22,3.77,3.721,3.818,164454.41,130974.03,136281.42
2018-12-26,3.74,3.9,3.86,3.74,156687.62,0.07,1.85,3.78,3.743,3.83,132664.61,118262.87,134870.22
2018-12-25,3.79,3.84,3.79,3.67,153513.72,-0.07,-1.81,3.736,3.741,3.84,117183.9,111502.98,138867.93
2018-12-24,3.71,3.89,3.86,3.71,149991.5,0.14,3.76,3.716,3.752,3.854,104020.76,107007.3,141719.39
2018-12-21,3.67,3.78,3.72,3.62,126853.58,0.05,1.36,3.68,3.746,3.864,96066.37,102346.87,144399.92
2018-12-20,3.62,3.69,3.67,3.6,76276.62,0.03,0.82,3.672,3.762,3.882,97493.65,99121.74,155315.94
2018-12-19,3.72,3.74,3.64,3.62,79284.1,-0.05,-1.35,3.706,3.781,3.919,103861.13,106853.66,169990.06
2018-12-18,3.63,3.74,3.69,3.62,87698.0,0.01,0.27,3.746,3.818,3.954,105822.05,117324.35,186578.76
2018-12-17,3.68,3.72,3.68,3.56,110219.54,0.0,0.0,3.788,3.861,3.984,109993.85,128646.77,217574.84
2018-12-14,3.83,3.87,3.68,3.64,133990.0,-0.16,-4.17,3.812,3.896,4.039,108627.36,137489.23,266157.17
2018-12-13,3.87,3.91,3.84,3.79,108114.0,0.0,0.0,3.852,3.915,4.095,100749.83,141588.81,289017.62
2018-12-12,3.91,3.94,3.84,3.84,89088.7,-0.06,-1.54,3.856,3.917,4.121,109846.2,151477.56,309033.07
2018-12-11,3.84,3.93,3.9,3.83,108557.0,0.1,2.63,3.89,3.938,4.137,128826.66,166232.89,326744.41
2018-12-10,3.88,3.88,3.8,3.75,103387.12,-0.08,-2.06,3.934,3.956,4.147,147299.69,176431.48,343025.49
2018-12-07,3.89,3.95,3.88,3.82,94602.34,0.02,0.52,3.98,3.981,4.157,166351.09,186452.96,356521.92
2018-12-06,3.98,4.02,3.86,3.84,153595.84,-0.15,-3.74,3.978,4.001,4.154,182427.79,211510.14,363278.78
2018-12-05,4.0,4.07,4.01,3.93,183991.0,-0.11,-2.67,3.978,4.056,4.156,193108.92,233126.46,373241.67
2018-12-04,4.06,4.17,4.12,4.03,200922.14,0.09,2.23,3.986,4.089,4.149,203639.12,255833.16,386239.38
