date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,1.17,1.17,1.16,1.16,184.0,0.0,0.0,1.164,1.171,1.185,593.56,561.85,685.83
2018-12-27,1.17,1.17,1.16,1.16,508.0,0.0,0.0,1.166,1.174,1.187,656.56,573.87,770.03
2018-12-26,1.16,1.17,1.16,1.16,590.0,0.0,0.0,1.17,1.178,1.188,690.36,586.35,818.03
2018-12-25,1.17,1.17,1.16,1.15,1464.82,-0.02,-1.7,1.174,1.18,1.19,611.96,572.35,849.98
2018-12-24,1.17,1.18,1.18,1.17,221.0,0.01,0.85,1.178,1.183,1.19,491.54,463.47,820.54
2018-12-21,1.18,1.18,1.17,1.17,499.0,-0.01,-0.85,1.178,1.184,1.19,530.14,476.47,870.0
2018-12-20,1.17,1.18,1.18,1.17,677.0,0.0,0.0,1.182,1.186,1.19,491.17,495.87,997.35
2018-12-19,1.18,1.18,1.18,1.18,198.0,0.0,0.0,1.186,1.188,1.191,482.34,496.77,1034.6
2018-12-18,1.18,1.18,1.18,1.17,862.7,0.0,0.0,1.186,1.191,1.192,532.74,576.67,1130.15
2018-12-17,1.19,1.19,1.18,1.18,414.0,-0.01,-0.84,1.188,1.195,1.194,435.4,576.0,1258.67
2018-12-14,1.19,1.19,1.19,1.18,304.16,-0.01,-0.83,1.19,1.199,1.197,422.8,809.81,1344.18
2018-12-13,1.18,1.2,1.2,1.18,632.82,0.02,1.7,1.19,1.2,1.2,500.56,966.2,1495.52
2018-12-12,1.2,1.2,1.18,1.18,450.0,-0.01,-0.84,1.19,1.198,1.203,511.2,1049.72,1750.6
2018-12-11,1.2,1.22,1.19,1.19,376.0,0.0,0.0,1.196,1.199,1.206,620.6,1127.62,2096.5
2018-12-10,1.19,1.19,1.19,1.18,351.0,0.0,0.0,1.202,1.197,1.206,716.6,1177.62,2178.45
2018-12-07,1.2,1.2,1.19,1.19,693.0,-0.01,-0.83,1.208,1.195,1.206,1196.83,1263.54,2266.7
2018-12-06,1.2,1.21,1.2,1.19,686.0,-0.01,-0.83,1.21,1.193,1.205,1431.83,1498.84,2299.4
2018-12-05,1.21,1.21,1.21,1.21,997.0,-0.01,-0.82,1.206,1.194,1.204,1588.23,1572.44,2338.6
2018-12-04,1.23,1.23,1.22,1.21,856.0,0.0,0.0,1.202,1.193,1.202,1634.63,1683.63,2353.6
2018-12-03,1.21,1.23,1.22,1.2,2752.16,0.02,1.67,1.192,1.192,1.2,1638.63,1941.33,2434.26
2018-11-30,1.18,1.2,1.2,1.16,1868.0,0.02,1.7,1.182,1.194,1.199,1330.24,1878.54,2367.35
2018-11-29,1.19,1.2,1.18,1.18,1468.0,-0.01,-0.84,1.176,1.2,1.199,1565.84,2024.84,2362.65
2018-11-28,1.16,1.19,1.19,1.16,1229.0,0.02,1.71,1.182,1.208,1.2,1556.64,2451.49,2351.7
2018-11-27,1.16,1.18,1.17,1.16,876.0,0.0,0.0,1.184,1.212,1.2,1732.63,3065.39,2455.55
2018-11-26,1.16,1.18,1.17,1.16,1210.2,0.0,0.0,1.192,1.215,1.201,2244.03,3179.29,2512.55
2018-11-23,1.2,1.2,1.17,1.17,3046.0,-0.04,-3.31,1.206,1.216,1.2,2426.84,3269.87,2507.34
2018-11-22,1.21,1.21,1.21,1.2,1422.0,0.01,0.83,1.224,1.216,1.201,2483.84,3099.97,2406.54
2018-11-21,1.21,1.21,1.2,1.2,2108.96,-0.01,-0.83,1.234,1.213,1.199,3346.35,3104.77,2392.14
2018-11-20,1.24,1.24,1.21,1.2,3433.0,-0.03,-2.42,1.24,1.21,1.198,4398.15,3023.57,2364.15
2018-11-19,1.26,1.26,1.24,1.24,2124.26,-0.02,-1.59,1.238,1.207,1.197,4114.55,2927.19,2269.75
2018-11-16,1.25,1.26,1.26,1.24,3331.0,0.0,0.0,1.226,1.203,1.195,4112.89,2856.16,2479.7
2018-11-15,1.23,1.26,1.26,1.23,5734.51,0.03,2.44,1.208,1.198,1.188,3716.09,2700.46,2442.35
