date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,1.16,1.21,1.21,1.15,463752.84,0.06,5.22,1.166,1.18,1.222,241035.91,228628.96,334581.34
2018-12-27,1.17,1.18,1.15,1.15,145423.0,0.0,0.0,1.158,1.179,1.22,189137.17,210501.81,319653.7
2018-12-26,1.16,1.17,1.15,1.15,133449.0,-0.02,-1.71,1.168,1.186,1.221,200106.39,225510.93,323813.62
2018-12-25,1.17,1.19,1.17,1.15,286734.59,0.02,1.74,1.176,1.195,1.224,218954.42,264936.94,327105.15
2018-12-24,1.16,1.17,1.15,1.14,175820.14,-0.02,-1.71,1.184,1.209,1.226,209017.74,300208.81,323647.74
2018-12-21,1.2,1.2,1.17,1.15,204259.14,-0.03,-2.5,1.194,1.232,1.228,216222.01,379722.19,328564.89
2018-12-20,1.18,1.21,1.2,1.17,200269.09,0.01,0.84,1.2,1.247,1.231,231866.44,389953.39,336507.98
2018-12-19,1.2,1.21,1.19,1.18,227689.14,-0.02,-1.65,1.204,1.253,1.235,250915.47,419868.92,342756.65
2018-12-18,1.19,1.24,1.21,1.18,237051.19,0.01,0.83,1.214,1.261,1.241,310919.45,441749.93,352410.78
2018-12-17,1.18,1.22,1.2,1.18,211841.48,0.0,0.0,1.234,1.261,1.244,391399.88,435859.83,364857.32
2018-12-14,1.21,1.26,1.2,1.19,282481.28,-0.02,-1.64,1.27,1.263,1.25,543222.38,440533.72,396239.67
2018-12-13,1.22,1.24,1.22,1.19,295514.25,-0.02,-1.61,1.294,1.261,1.258,548040.35,428805.6,418803.35
2018-12-12,1.26,1.28,1.24,1.24,527709.06,-0.07,-5.34,1.302,1.256,1.262,588822.38,422116.31,436967.39
2018-12-11,1.35,1.36,1.31,1.31,639453.31,-0.07,-5.07,1.308,1.253,1.269,572580.4,389273.36,469832.79
2018-12-10,1.33,1.39,1.38,1.28,970954.0,0.06,4.54,1.288,1.243,1.275,480319.78,347086.66,445560.46
2018-12-07,1.28,1.32,1.32,1.26,306571.12,0.06,4.76,1.256,1.223,1.275,337845.07,277407.59,418179.06
2018-12-06,1.29,1.33,1.26,1.25,499424.41,-0.01,-0.79,1.228,1.214,1.274,309570.84,283062.58,441469.78
2018-12-05,1.19,1.27,1.27,1.16,446499.16,0.06,4.96,1.21,1.217,1.273,255410.24,265644.38,436904.84
2018-12-04,1.21,1.22,1.21,1.2,178150.23,-0.01,-0.82,1.198,1.221,1.268,205966.33,263071.63,435824.2
2018-12-03,1.2,1.23,1.22,1.18,258580.41,0.04,3.39,1.198,1.226,1.264,213853.54,293854.8,437399.94
2018-11-30,1.16,1.19,1.18,1.15,165200.0,0.01,0.85,1.19,1.236,1.26,216970.11,351945.62,443348.35
2018-11-29,1.22,1.22,1.17,1.15,228621.41,-0.04,-3.31,1.2,1.255,1.256,256554.31,408801.11,446054.31
2018-11-28,1.2,1.22,1.21,1.18,199279.59,0.0,0.0,1.224,1.268,1.251,275878.52,451818.48,460652.64
2018-11-27,1.2,1.23,1.21,1.19,217586.31,0.03,2.54,1.244,1.284,1.247,320176.92,550392.22,483521.97
2018-11-26,1.22,1.23,1.18,1.17,274163.25,-0.05,-4.07,1.254,1.307,1.241,373856.06,544034.26,488076.37
2018-11-23,1.29,1.3,1.23,1.23,363121.0,-0.06,-4.65,1.282,1.326,1.233,486921.12,558950.53,493873.24
2018-11-22,1.31,1.33,1.29,1.27,325242.44,-0.02,-1.53,1.31,1.333,1.222,561047.91,599876.98,489228.77
2018-11-21,1.22,1.32,1.31,1.22,420771.62,0.05,3.97,1.312,1.328,1.206,627758.44,608165.3,485511.63
2018-11-20,1.29,1.34,1.26,1.25,485982.0,-0.06,-4.54,1.324,1.315,1.19,780607.51,608576.76,474752.92
2018-11-19,1.31,1.36,1.32,1.3,839488.56,-0.05,-3.65,1.36,1.301,1.177,714212.45,580945.07,468673.36
2018-11-16,1.27,1.37,1.37,1.26,733754.94,0.07,5.38,1.37,1.283,1.163,630979.94,534751.09,446813.16
2018-11-15,1.36,1.37,1.3,1.3,658795.06,-0.07,-5.11,1.356,1.256,1.143,638706.04,483307.51,421907.75
2018-11-14,1.51,1.51,1.37,1.37,1185017.0,-0.07,-4.86,1.344,1.234,1.129,588572.17,469486.81,397965.01
2018-11-13,1.44,1.44,1.44,1.41,154006.7,0.07,5.11,1.306,1.21,1.114,436546.02,416651.73,352026.16
2018-11-12,1.28,1.37,1.37,1.26,423326.0,0.07,5.38,1.242,1.174,1.098,447677.69,432118.49,352070.82
2018-11-09,1.26,1.3,1.3,1.23,772385.44,0.06,4.84,1.196,1.14,1.087,438522.24,428795.95,337270.63
2018-11-08,1.18,1.24,1.24,1.17,408125.69,0.06,5.08,1.156,1.11,1.08,327908.99,378580.57,311216.3
2018-11-07,1.11,1.18,1.18,1.11,424886.25,0.06,5.36,1.124,1.083,1.077,350401.45,362857.97,303280.61
2018-11-06,1.13,1.13,1.12,1.1,209665.05,-0.02,-1.75,1.114,1.065,1.081,396757.44,340929.07,295112.29
2018-11-05,1.09,1.16,1.14,1.09,377548.75,0.04,3.64,1.106,1.053,1.089,416559.29,356401.64,313177.39
2018-11-02,1.1,1.12,1.1,1.08,219319.2,0.02,1.85,1.084,1.042,1.095,419069.66,358875.24,301124.15
2018-11-01,1.11,1.15,1.08,1.07,520588.0,-0.05,-4.42,1.064,1.03,1.101,429252.15,360507.99,298477.97
2018-10-31,1.1,1.13,1.13,1.08,656666.19,0.05,4.63,1.042,1.024,1.106,375314.49,326443.2,285376.09
2018-10-30,1.03,1.08,1.08,1.02,308674.31,0.05,4.85,1.016,1.018,1.111,285100.69,287400.59,260142.61
2018-10-29,1.0,1.04,1.03,0.98,390100.62,0.03,3.0,1.0,1.021,1.118,296243.99,272023.16,250303.89
2018-10-26,0.98,1.01,1.0,0.97,270231.62,0.03,3.09,1.0,1.033,1.129,298680.81,245745.31,241361.68
2018-10-25,0.96,0.99,0.97,0.95,250899.69,-0.03,-3.0,0.996,1.049,1.141,291763.83,243852.03,236760.55
2018-10-24,0.98,1.01,1.0,0.98,205597.23,0.0,0.0,1.006,1.071,1.155,277571.92,243703.26,234879.65
2018-10-23,1.01,1.02,1.0,0.98,364390.81,-0.03,-2.91,1.02,1.096,1.167,289700.48,249295.51,237650.27
2018-10-22,1.0,1.03,1.03,0.99,402284.72,0.05,5.1,1.042,1.124,1.178,247802.32,269953.13,233244.1
2018-10-19,0.97,0.99,0.98,0.97,235646.69,-0.04,-3.92,1.066,1.148,1.19,192809.8,243373.05,223485.76
2018-10-18,1.05,1.05,1.02,1.02,179940.16,-0.05,-4.67,1.102,1.171,1.205,195940.23,236447.95,220722.62
2018-10-17,1.11,1.12,1.07,1.05,266240.03,-0.04,-3.6,1.136,1.188,1.219,209834.6,244308.97,218172.42
2018-10-16,1.15,1.16,1.11,1.09,154900.0,-0.04,-3.48,1.172,1.204,1.23,208890.53,232884.63,214233.01
2018-10-15,1.17,1.17,1.15,1.14,127322.1,-0.01,-0.86,1.206,1.215,1.241,292103.94,228584.63,220124.51
2018-10-12,1.16,1.18,1.16,1.13,251298.86,-0.03,-2.52,1.23,1.224,1.248,293936.31,236978.06,224307.86
2018-10-11,1.21,1.22,1.19,1.19,249412.0,-0.06,-4.8,1.24,1.232,1.255,276955.67,229669.07,233290.63
2018-10-10,1.26,1.27,1.25,1.24,261519.69,-0.03,-2.34,1.24,1.238,1.263,278783.33,226056.04,236536.92
2018-10-09,1.31,1.33,1.28,1.26,570967.06,0.01,0.79,1.236,1.238,1.265,256878.73,226005.04,233571.7
2018-10-08,1.27,1.27,1.27,1.27,136483.92,0.06,4.96,1.224,1.232,1.265,165065.32,196535.07,213174.32
2018-09-28,1.19,1.21,1.21,1.19,166395.69,0.02,1.68,1.218,1.231,1.266,180019.8,203598.47,219184.56
2018-09-27,1.22,1.23,1.19,1.19,258550.31,-0.04,-3.25,1.224,1.239,1.271,182382.47,204997.3,228499.56
2018-09-26,1.22,1.24,1.23,1.22,151996.66,0.01,0.82,1.236,1.249,1.279,173328.74,192035.88,241992.32
2018-09-25,1.23,1.24,1.22,1.21,111900.0,-0.02,-1.61,1.24,1.256,1.284,195131.35,195581.39,259453.79
2018-09-21,1.24,1.25,1.24,1.21,211256.36,0.0,0.0,1.24,1.266,1.287,228004.83,211664.38,267158.03
