date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,10.25,10.46,10.31,10.21,26523.1,0.01,0.1,10.354,10.527,10.787,27286.4,25333.38,34124.31
2018-12-27,10.5,10.5,10.3,10.22,36763.73,-0.04,-0.39,10.364,10.629,10.8,25780.19,27394.77,35090.11
2018-12-26,10.54,10.54,10.34,10.16,31183.78,-0.15,-1.43,10.416,10.737,10.813,21498.87,29500.58,34508.28
2018-12-25,10.27,10.57,10.49,9.96,23041.72,0.16,1.55,10.452,10.788,10.84,20377.48,29231.88,33935.2
2018-12-24,10.31,10.47,10.33,10.26,18919.69,-0.03,-0.29,10.524,10.809,10.858,22285.52,30289.72,34046.37
2018-12-21,10.5,10.64,10.36,10.26,18992.01,-0.2,-1.89,10.7,10.871,10.871,23380.35,32066.75,34907.01
2018-12-20,10.49,10.7,10.56,10.41,15357.16,0.04,0.38,10.894,10.93,10.903,29009.35,33868.45,35537.35
2018-12-19,10.75,10.86,10.52,10.5,25576.81,-0.33,-3.04,11.058,10.979,10.957,37502.29,35716.99,35910.3
2018-12-18,11.17,11.22,10.85,10.75,32581.91,-0.36,-3.21,11.124,11.034,11.011,38086.28,35933.28,35971.03
2018-12-17,11.35,11.44,11.21,10.95,24393.85,-0.12,-1.06,11.094,11.069,11.049,38293.92,38456.17,36213.24
2018-12-14,11.35,11.59,11.33,11.2,47137.0,-0.05,-0.44,11.042,11.047,11.073,40753.15,42915.24,37545.62
2018-12-13,10.78,11.54,11.38,10.78,57821.87,0.53,4.88,10.966,10.97,11.105,38727.56,42785.45,39156.89
2018-12-12,10.8,11.03,10.85,10.66,28496.76,0.15,1.4,10.9,10.889,11.114,33931.69,39515.97,38123.9
2018-12-11,10.86,10.91,10.7,10.57,33620.14,-0.25,-2.28,10.944,10.891,11.144,33780.29,38638.53,38177.29
2018-12-10,10.92,10.95,10.95,10.53,36689.98,0.0,0.0,11.044,10.906,11.187,38618.41,37803.01,38415.84
2018-12-07,11.0,11.18,10.95,10.71,37009.05,-0.1,-0.91,11.052,10.871,11.207,45077.33,37747.27,37889.98
2018-12-06,10.96,11.38,11.05,10.83,33842.52,-0.02,-0.18,10.974,10.876,11.214,46843.34,37206.25,37328.67
2018-12-05,10.9,11.19,11.07,10.87,27739.75,-0.13,-1.16,10.878,10.934,11.206,45100.26,36103.62,37475.13
