date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,5.05,5.18,5.12,5.05,78422.72,0.09,1.79,5.17,5.334,5.608,100665.13,103639.2,135485.26
2018-12-27,5.28,5.3,5.03,5.01,83589.0,-0.15,-2.9,5.232,5.373,5.66,102253.98,110082.8,140536.39
2018-12-26,5.19,5.24,5.18,5.14,85977.6,0.0,0.0,5.346,5.432,5.712,105579.58,113329.88,148604.1
2018-12-25,5.24,5.31,5.18,4.95,147320.88,-0.16,-3.0,5.428,5.477,5.777,126271.7,113848.27,160632.0
2018-12-24,5.37,5.49,5.34,5.3,108015.45,-0.09,-1.66,5.472,5.523,5.835,113376.67,110240.76,166559.19
2018-12-21,5.57,5.59,5.43,5.42,86366.96,-0.17,-3.04,5.498,5.553,5.896,106613.26,115664.81,170552.92
2018-12-20,5.6,5.63,5.6,5.46,100217.03,0.01,0.18,5.514,5.596,5.953,117911.63,127646.86,179170.35
2018-12-19,5.42,5.64,5.59,5.4,189438.16,0.19,3.52,5.518,5.649,6.021,121080.18,132560.51,184281.12
2018-12-18,5.44,5.44,5.4,5.32,82845.76,-0.07,-1.28,5.526,5.718,6.096,101424.84,141091.12,191133.97
2018-12-17,5.47,5.48,5.47,5.36,74198.4,-0.04,-0.73,5.574,5.799,6.188,107104.85,154083.83,218291.02
2018-12-14,5.61,5.61,5.51,5.4,142858.8,-0.11,-1.96,5.608,5.882,6.288,124716.36,167331.33,228555.31
2018-12-13,5.65,5.7,5.62,5.55,116059.77,-0.01,-0.18,5.678,5.946,6.353,137382.1,170989.98,237135.34
2018-12-12,5.64,5.67,5.63,5.59,91161.45,-0.01,-0.18,5.78,5.991,6.392,144040.84,183878.31,241616.28
2018-12-11,5.71,5.74,5.64,5.58,111245.81,0.0,0.0,5.91,6.077,6.419,180757.41,207415.73,247770.16
2018-12-10,5.75,5.75,5.64,5.6,162255.98,-0.22,-3.75,6.024,6.146,6.448,201062.82,222877.63,253927.47
2018-12-07,6.08,6.17,5.86,5.81,206187.48,-0.27,-4.41,6.156,6.239,6.463,209946.29,225441.02,252538.33
2018-12-06,6.25,6.36,6.13,6.11,149353.48,-0.15,-2.39,6.214,6.309,6.459,204597.86,230693.83,250641.82
2018-12-05,6.06,6.45,6.28,6.01,274744.31,0.07,1.13,6.202,6.393,6.442,223715.78,236001.72,252164.12
2018-12-04,6.26,6.27,6.21,6.09,212772.86,-0.09,-1.43,6.244,6.474,6.421,234074.04,241176.81,249457.58
2018-12-03,6.28,6.41,6.3,6.18,206673.31,0.15,2.44,6.268,6.576,6.401,244692.44,282498.2,246434.92
2018-11-30,6.04,6.18,6.15,5.9,179445.36,0.08,1.32,6.322,6.694,6.372,240935.75,289779.3,248768.43
2018-11-29,6.42,6.43,6.07,6.03,244943.05,-0.42,-6.47,6.404,6.759,6.34,256789.8,303280.7,248462.61
2018-11-28,6.37,6.61,6.49,6.1,326535.62,0.16,2.53,6.584,6.793,6.3,248287.67,299354.24,243773.39
2018-11-27,6.63,6.69,6.33,6.26,265864.84,-0.24,-3.65,6.704,6.76,6.241,248279.59,288124.59,232889.75
2018-11-26,6.58,6.78,6.57,6.45,187889.88,0.01,0.15,6.884,6.75,6.187,320303.96,284977.31,223623.59
2018-11-23,6.96,7.02,6.56,6.55,258715.59,-0.41,-5.88,7.066,6.687,6.116,338622.86,279635.64,217921.05
2018-11-22,7.2,7.42,6.97,6.95,202432.41,-0.12,-1.69,7.114,6.609,6.05,349771.6,270589.8,210012.09
2018-11-21,6.8,7.43,7.09,6.78,326495.22,-0.14,-1.94,7.002,6.49,5.961,350420.82,268326.51,204701.58
2018-11-20,7.6,8.1,7.23,7.11,625986.69,-0.25,-3.34,6.816,6.368,5.867,327969.6,257738.34,193533.88
