date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,2.82,2.89,2.89,2.82,49332.22,0.07,2.48,2.876,2.936,2.921,61505.81,80170.43,105218.96
2018-12-27,2.88,2.9,2.82,2.82,59171.0,-0.03,-1.05,2.888,2.947,2.913,80452.41,91480.55,106295.35
2018-12-26,2.89,2.9,2.85,2.84,40536.0,-0.04,-1.38,2.932,2.967,2.91,92693.98,105533.14,107512.55
2018-12-25,2.92,2.92,2.89,2.79,94930.4,-0.04,-1.36,2.96,2.975,2.91,96917.25,107588.32,111874.46
2018-12-24,2.91,2.95,2.93,2.91,63559.42,-0.02,-0.68,2.986,2.978,2.905,93531.02,108171.21,110199.02
2018-12-21,3.04,3.08,2.95,2.91,144065.23,-0.09,-2.96,2.996,2.982,2.897,98835.05,123553.51,110677.56
2018-12-20,2.97,3.09,3.04,2.96,120378.86,0.05,1.67,3.006,2.98,2.892,102508.68,131667.82,110272.42
2018-12-19,3.02,3.04,2.99,2.98,61652.33,-0.03,-0.99,3.002,2.958,2.887,118372.29,128810.02,111314.72
2018-12-18,2.98,3.03,3.02,2.95,77999.28,0.04,1.34,2.99,2.942,2.88,118259.4,129941.29,111161.38
2018-12-17,2.99,3.01,2.98,2.92,90079.56,-0.02,-0.67,2.97,2.923,2.871,122811.39,130103.16,111661.8
2018-12-14,3.01,3.06,3.0,2.98,162433.39,-0.02,-0.66,2.968,2.906,2.867,148271.97,130267.5,111782.57
2018-12-13,2.93,3.06,3.02,2.9,199696.88,0.09,3.07,2.954,2.878,2.863,160826.95,121110.16,109391.32
2018-12-12,2.92,2.95,2.93,2.89,61087.87,0.01,0.34,2.914,2.853,2.857,139247.75,109491.97,105362.82
2018-12-11,2.97,2.99,2.92,2.9,100759.25,-0.05,-1.68,2.894,2.845,2.856,141623.18,116160.6,111221.8
2018-12-10,2.88,3.03,2.97,2.88,217382.48,0.04,1.36,2.876,2.831,2.857,137394.93,112226.84,118360.23
2018-12-07,2.82,2.96,2.93,2.82,225208.27,0.11,3.9,2.844,2.812,2.851,112263.02,97801.62,117786.03
2018-12-06,2.82,2.89,2.82,2.8,91800.9,-0.01,-0.35,2.802,2.803,2.841,81393.37,88877.02,111252.68
2018-12-05,2.78,2.84,2.83,2.75,72965.0,0.0,0.0,2.792,2.815,2.836,79736.19,93819.42,113889.56
2018-12-04,2.81,2.87,2.83,2.79,79618.0,0.02,0.71,2.796,2.818,2.829,90698.02,92381.48,113139.11
2018-12-03,2.79,2.81,2.81,2.75,91722.92,0.09,3.31,2.786,2.818,2.822,87058.75,93220.45,112367.04
2018-11-30,2.72,2.78,2.72,2.66,70860.01,-0.05,-1.8,2.78,2.827,2.818,83340.21,93297.64,113162.54
2018-11-29,2.87,2.88,2.77,2.75,83515.0,-0.08,-2.81,2.804,2.847,2.818,96360.67,97672.48,114650.57
2018-11-28,2.78,2.87,2.85,2.77,127774.18,0.07,2.52,2.838,2.86,2.813,107902.66,101233.66,114837.02
2018-11-27,2.8,2.83,2.78,2.75,61421.66,0.0,0.0,2.84,2.866,2.807,94064.93,106282.99,112712.31
2018-11-26,2.81,2.87,2.78,2.77,73130.21,-0.06,-2.11,2.85,2.882,2.802,99382.14,124493.61,112585.92
2018-11-23,2.94,2.98,2.84,2.83,135962.3,-0.1,-3.4,2.874,2.89,2.796,103255.07,137770.45,111124.64
2018-11-22,2.85,2.99,2.94,2.84,141224.95,0.08,2.8,2.89,2.878,2.789,98984.28,133628.34,107401.23
2018-11-21,2.8,2.87,2.86,2.79,58585.55,0.03,1.06,2.882,2.857,2.777,94564.67,133959.69,103018.69
2018-11-20,2.88,2.92,2.83,2.82,88007.71,-0.07,-2.41,2.892,2.839,2.769,118501.05,133896.74,103466.26
2018-11-19,2.89,2.92,2.9,2.86,92494.82,-0.02,-0.69,2.914,2.825,2.761,149605.08,131513.63,104752.02
2018-11-16,2.87,2.97,2.92,2.87,114608.39,0.02,0.69,2.906,2.809,2.75,172285.84,133027.45,106386.41
2018-11-15,2.87,2.9,2.9,2.84,119126.87,-0.01,-0.34,2.866,2.788,2.732,168272.39,131628.66,106052.77
2018-11-14,2.91,3.02,2.91,2.89,178267.44,-0.03,-1.02,2.832,2.766,2.713,173354.71,128440.37,104741.65
2018-11-13,2.83,3.0,2.94,2.82,243527.86,0.08,2.8,2.786,2.747,2.7,149292.44,119141.62,100289.8
2018-11-12,2.7,2.86,2.86,2.7,205898.64,0.14,5.15,2.736,2.721,2.684,113422.18,100678.23,91913.66
2018-11-09,2.71,2.78,2.72,2.7,94541.16,-0.01,-0.37,2.712,2.701,2.68,93769.06,84478.82,85532.75
2018-11-08,2.69,2.8,2.73,2.68,144538.47,0.05,1.87,2.71,2.699,2.681,94984.93,81174.12,87124.56
2018-11-07,2.69,2.72,2.68,2.67,57956.05,-0.01,-0.37,2.7,2.696,2.687,83526.03,72077.69,85690.28
2018-11-06,2.72,2.73,2.69,2.68,64176.6,-0.05,-1.82,2.708,2.699,2.702,88990.81,73035.79,87321.44
2018-11-05,2.64,2.77,2.74,2.64,107633.02,0.03,1.11,2.706,2.697,2.717,87934.27,77990.41,91705.72
2018-11-02,2.71,2.72,2.71,2.66,100620.5,0.03,1.12,2.69,2.691,2.724,75188.59,79745.38,90817.67
2018-11-01,2.73,2.74,2.68,2.68,87244.0,-0.04,-1.47,2.688,2.675,2.733,67363.31,80476.89,91711.66
2018-10-31,2.69,2.81,2.72,2.66,85279.93,0.04,1.49,2.692,2.659,2.746,60629.35,81042.93,97465.38
2018-10-30,2.66,2.69,2.68,2.6,58893.9,0.02,0.75,2.69,2.652,2.749,57080.77,81437.98,95798.24
